R,F,M,C,L
-1.0008551,2.419908,3.3968327,1.1462804,0.44259748
-0.9687963,4.742642,4.777222,-0.93966645,1.9144697
-0.97795594,2.8731246,3.3464868,1.1255221,1.4144826
-0.950477,2.136648,4.129176,-0.1874565,-0.28996795
-0.35052,0.89030284,4.8186483,-1.0491942,0.9470789
-1.0054349,3.1563847,3.3033683,1.1033406,0.83584577
-0.9413174,4.2327733,3.6045275,0.48600486,0.552707
-0.9642165,6.555507,3.1530356,1.345878,1.1189846
-0.94589716,3.0430806,3.634319,0.39189896,1.185275
-0.76728404,-0.072781935,4.456496,-0.808641,-0.19895907
-0.9596367,3.1563847,3.467275,0.5766668,1.6695322
-0.8543007,0.21047829,3.700777,0.16584986,-0.61018443
-0.9687963,-0.072781935,4.456496,-0.8814346,2.0245793
-0.99169546,2.3066041,4.378156,-0.83925086,-1.0360162
-0.91383845,3.722905,3.6526875,0.17714816,0.5021465
-0.9871156,4.176121,2.9875426,1.4410988,0.4549567
-0.9321577,2.249952,4.3823867,-0.8840615,-1.0371398
-0.9321577,4.4593816,4.0347953,-0.4641865,1.1448267
-0.9596367,1.9666917,4.5888124,-1.146531,-0.24727243
-0.99627525,4.3460774,3.095603,1.1234623,1.6369488
-0.9687963,2.419908,2.9714656,1.381609,0.3066459
-0.8771998,2.249952,2.9127991,1.374855,1.185275
-0.9092586,3.2696888,3.5108163,0.16001919,2.0099728
-0.9596367,3.9495132,2.915902,1.2437047,1.7324519
-0.9596367,2.1933,2.7902837,1.5139563,0.5684369
-0.9642165,2.9297764,3.5049286,0.0748339,1.5605463
-0.9000989,2.9297764,3.12751,0.7041622,-0.8506277
-0.99169546,2.9864285,2.9018698,1.1600043,0.9695502
-1.0008551,2.1933,2.989235,0.9257045,1.4380774
-0.97337615,2.47656,2.7402198,1.3216174,0.544842
-0.97795594,4.062817,2.731441,1.3127697,0.63472736
-0.99169546,2.8731246,2.710111,1.3314224,2.0077257
-1.0054349,1.003607,2.6577904,1.4009768,0.058337685
-0.9871156,3.722905,3.8336933,-0.7711119,1.6088597
-1.0054349,1.7967356,3.4034963,-0.25547463,1.4403247
-0.9413174,3.779557,2.9875073,0.46539304,-0.07873744
-0.9825358,3.8928611,3.042084,0.3371486,1.1549387
-0.9687963,1.4568233,2.7053864,1.0289997,1.2684189
-0.9596367,5.025902,2.9114594,0.5690874,0.5965261
-0.90467876,3.609601,2.6005344,1.2618749,1.1055018
-0.9413174,2.5332122,2.507916,1.4594564,-0.5146813
-0.455856,0.04052216,3.7165368,-0.91796124,-0.5933309
-0.78560334,3.552949,2.6020503,1.0607543,-0.7809666
-0.99627525,2.363256,2.6158707,0.99871325,1.102131
-0.99169546,3.779557,2.525791,1.2180389,-0.7899551
-0.90467876,0.04052216,3.753697,-1.0573227,-1.3989282
-0.87262,0.6070426,3.70046,-1.000396,-0.55625325
-0.9275779,-0.016129887,3.741181,-1.0684885,-0.6416443
-0.99627525,3.0997326,3.4253552,-0.6534431,1.8998634
-1.0008551,6.215595,2.4315863,1.2874178,-1.015792
-0.9321577,1.9100397,2.4903936,1.1171832,1.042582
-0.57493144,0.04052216,3.6412997,-1.0215237,-0.33041635
-0.5199735,2.0233438,2.475727,1.1467018,1.3661692
-0.9596367,2.6465163,3.0284045,-0.08935472,0.68304074
-1.0008551,3.0430806,3.489169,-0.88137835,1.8796391
-1.0054349,2.136648,2.773008,0.36061502,-0.13266864
-0.69400686,3.439645,2.6843739,0.53460455,-0.23716034
-0.88635945,-0.072781935,3.5697296,-1.0173154,-0.3764826
-0.9825358,2.5898643,2.2842503,1.5329568,-0.015817711
-0.99627525,2.6465163,2.39908,1.1797025,0.46169809
-1.0054349,2.47656,2.4739995,0.982527,1.3830227
-0.93673754,2.5332122,2.6150599,0.5885864,1.8369436
-0.9825358,3.326341,2.495541,0.84606594,1.8009895
-0.9642165,5.6490746,3.5613387,-1.1033816,-0.02930051
-0.9642165,2.47656,2.5129578,0.78282255,0.3470943
-0.950477,0.15382625,3.3500476,-0.8198893,-0.9079296
-0.99627525,4.2327733,3.4119577,-0.92297065,1.9459296
-0.99627525,6.272247,3.28708,-0.7444188,1.8111016
-1.0054349,2.9864285,2.3286378,1.2131718,0.6740522
-0.99169546,2.5898643,2.6288803,0.4369755,0.08755042
-0.48791474,2.0233438,2.4158266,0.89032537,1.9762659
-1.0008551,2.5332122,2.2554107,1.3119491,0.85607
-0.91383845,2.1933,2.2202601,1.3710917,0.25720897
-0.194806,-0.12943397,3.234654,-0.77446496,1.8481793
-0.950477,2.5898643,2.547403,0.50061387,-0.21581256
-0.8909393,3.9495132,2.6110759,0.33020717,1.5403221
-0.97795594,3.552949,2.3156283,0.9897073,1.4605488
-1.0054349,4.912598,2.5153904,0.49104345,0.9291018
0.31813434,0.6636947,3.1362183,-0.71828103,1.5212214
-0.9687963,2.47656,2.2457857,1.1466094,-0.16075781
-0.55661213,-0.12943397,3.2123718,-0.86202306,-1.2303932
-0.87262,1.6834315,2.6006048,0.24764602,1.4448189
-0.86346036,2.249952,2.2782214,1.0217409,0.9594381
-0.99169546,2.419908,2.2070389,1.1981359,1.6852621
-0.9871156,2.6465163,2.7394793,-0.13404527,1.4897616
-0.9687963,1.6834315,2.5760312,0.1947596,0.46731594
-0.99169546,1.6834315,3.2233365,-1.0322708,-0.41243672
-0.99627525,4.5726857,3.1293786,-0.9148199,1.6099832
-0.9687963,0.15382625,3.0555167,-0.8538605,-1.1303958
-0.9092586,1.6267794,2.029171,1.3860811,1.454931
-0.9825358,0.32378238,2.6837745,-0.24423882,-0.72478825
-1.0054349,2.7031684,2.2163465,0.8109236,-0.66411567
-1.0054349,0.21047829,2.9966388,-0.82477516,-0.06188394
-0.9092586,0.7203467,2.6043067,-0.113959655,1.2369591
-0.8680402,1.6834315,2.081703,1.1504922,1.4796494
-0.9184182,2.3066041,1.9486104,1.5425911,-0.13941003
-0.8359814,2.0233438,2.1245391,0.991481,0.96505594
-1.0008551,2.1933,2.7270691,-0.45241338,0.485293
-0.97337615,1.6834315,2.0583985,1.1071415,-0.4360316
-0.7398051,1.060259,1.9999083,1.270297,-0.147275
-1.0008551,3.382993,1.9402194,1.378592,0.30439878
-0.9092586,2.47656,2.4595797,-0.06107741,-1.1798327
-0.97795594,2.0799959,2.423301,0.017503845,-0.054018974
-0.9275779,1.8533877,2.1312027,0.7321028,-0.06525464
-0.93673754,3.609601,2.1092732,0.7442848,1.4875144
-0.950477,0.8336508,1.9999788,1.0538532,-0.4135603
-0.8543007,2.249952,1.8804247,1.4133081,-0.2180597
-0.99169546,1.3435192,1.8460146,1.5198438,-0.7865844
-0.9642165,1.9666917,1.9048926,1.3136673,0.95494384
-0.9871156,2.1933,1.8779567,1.3548243,-0.31805712
-0.950477,1.9100397,1.9874628,1.0060441,0.5807962
-0.97795594,2.5898643,2.709018,-0.7145358,1.4538075
-0.88635945,2.0233438,2.0461292,0.75506663,0.47630447
-0.9229981,1.9100397,1.7888994,1.5362349,0.90101266
-1.0054349,1.8533877,1.7850565,1.5373845,1.2077464
-0.950477,0.8336508,1.8280692,1.3771793,-0.39221254
0.5975036,-0.072781935,2.8219085,-0.98056036,-0.28097942
-0.97337615,2.9297764,2.5680633,-0.52703416,1.3290915
-1.0054349,1.8533877,1.8670626,1.1703591,1.69088
-0.62530947,0.8336508,2.1956863,0.23790485,-0.8461334
-0.6985867,0.8336508,1.8851843,1.0956905,-0.9214124
-1.0054349,2.136648,1.8295499,1.2701569,1.4032469
-0.6298893,-0.18608603,2.7828093,-1.0023974,0.12238098
-1.0054349,1.1735631,1.7665117,1.4284412,1.2650483
-1.0008551,0.55039054,1.9224855,0.930103,1.3313386
-0.89551914,1.9100397,2.1859205,0.19152042,1.4414482
-1.0054349,4.006165,1.9526649,0.8101634,1.5245922
-1.0054349,4.799294,1.9876744,0.6131164,-0.91916525
-0.9321577,2.7031684,2.1411803,0.18687683,1.8380672
-0.950477,4.062817,1.7833995,1.1872666,-0.30794504
-0.9642165,1.9666917,1.6950471,1.4857497,0.99539226
-0.95505685,2.47656,2.247513,-0.10892592,1.4021233
-0.9871156,3.2696888,1.7518098,1.2561928,0.80663306
-0.9275779,4.119469,2.4261215,-0.52312505,0.788656
-0.9092586,1.4568233,1.7773001,1.1031053,1.9245818
-0.82224196,1.8533877,1.8065628,0.9735079,1.8841335
-0.9642165,1.7967356,1.6836594,1.3680261,0.050472718
-0.99169546,1.2868673,1.6375794,1.5284736,0.941461
-0.9229981,2.8731246,1.6299288,1.5511153,-0.2686202
-0.9184182,3.722905,1.9081361,0.6258003,1.9043577
-0.6207297,1.6267794,1.9033766,0.61536354,-0.60456663
-1.0054349,2.7598205,1.973466,0.3921246,-1.3371321
-0.9871156,1.8533877,1.6704383,1.3266796,0.7875324
-0.93673754,1.4001713,1.627743,1.4703827,-0.6652392
-1.0008551,4.2894254,2.0458825,0.13811682,-0.4360316
-0.8909393,1.4568233,1.7543836,0.9663818,1.0279757
-0.9321577,1.7400836,1.6002078,1.483615,-0.08547884
-0.86346036,1.003607,1.7300919,1.0329032,0.05946125
-0.9184182,2.3066041,1.8021206,0.79920876,-0.18547627
-0.9275779,3.382993,1.9903185,0.25627506,1.672903
-0.9871156,1.7967356,1.6766082,1.1836352,0.7268598
-0.94589716,4.742642,1.6235474,1.3671201,0.41226116
-0.8771998,1.4001713,1.6563358,1.2269707,-0.73827106
-0.97795594,1.116911,1.5852591,1.4780217,0.9021362
-0.9825358,1.4568233,1.6803806,1.1389426,0.38641915
-0.97337615,3.326341,1.8787677,0.5147091,-0.37872973
-0.99169546,2.3066041,1.5538105,1.5486717,0.25159115
-0.91383845,1.2868673,1.8264474,0.6085797,0.29091597
-0.9184182,2.7031684,1.8111461,0.6294074,-0.7528774
-0.86346036,2.0233438,1.5983745,1.3274487,1.2054992
-0.99627525,1.8533877,1.7938,0.6784847,0.5493363
-0.67568755,2.1933,1.9634533,0.17860878,0.9594381
-0.9687963,1.2868673,1.7070343,0.9318434,-1.194439
-0.95505685,1.3435192,1.6270379,1.1897887,0.10103322
-0.94589716,4.912598,1.5695701,1.3934058,1.6245896
-0.97795594,2.136648,2.3695,-0.7799652,0.85607
-0.89551914,2.9297764,1.9065497,0.284694,-0.55625325
-0.9871156,1.7967356,1.904117,0.28758886,-1.025904
-0.9321577,2.9864285,2.1964972,-0.47246775,-0.40906602
-1.0054349,1.116911,1.5185542,1.4505568,0.9437082
-0.97337615,0.77699876,2.4802752,-1.093553,-0.89669394
-0.71232617,0.32378238,2.3418589,-0.84031093,-0.07087248
-0.99169546,3.9495132,1.6352878,0.9752406,-0.99781495
-0.8771998,1.7400836,1.7195504,0.66279066,0.044854887
-0.9871156,2.0233438,1.4714166,1.4948529,-0.43490806
-0.94589716,1.4568233,1.5106921,1.3358814,1.978513
-0.97337615,1.6834315,1.7196914,0.5920186,1.4661666
-1.0008551,2.5898643,2.0524049,-0.32215226,-0.1506457
-1.0054349,2.136648,1.8055756,0.31065682,-0.6259144
-0.71232617,0.097174205,2.2773752,-0.84339184,0.9437082
-0.950477,2.8164725,2.2468433,-0.78648245,1.8009895
-0.99627525,1.9666917,1.5047338,1.2022214,-0.34277558
-0.99627525,2.1933,1.4675384,1.3390886,-0.61692584
-0.9687963,-0.12943397,2.111142,-0.57272434,0.048225585
-0.9825358,1.9100397,1.7042491,0.4809635,1.1908928
-0.49249458,1.003607,1.3908207,1.5474687,1.3942584
-0.97337615,1.1735631,2.3602276,-1.1423789,-1.0685996
-0.97795594,-0.35604215,2.3002212,-1.0284075,-1.1382607
-0.9687963,1.6834315,1.7976078,0.15473555,-1.1202837
-0.9596367,1.2868673,1.5090703,1.063327,-0.0068291784
-1.0008551,1.5134754,1.4020674,1.4267716,0.82011586
-0.9687963,1.2302152,1.495814,1.0204414,-0.03491834
-0.8771998,1.1735631,1.607259,0.6352853,-0.88321114
-0.9596367,1.6834315,1.7584733,0.16084044,-0.34165204
0.043344878,-0.072781935,2.2601702,-1.0762504,-1.0326455
-0.99169546,1.4001713,1.5289901,0.8028249,-1.0618582
-0.6482086,1.116911,1.4167694,1.1772381,0.6425923
-0.9687963,2.0233438,2.1945229,-1.0400925,1.8346965
-0.54287267,-0.41269422,1.8689665,-0.32820508,1.0448291
-1.0008551,1.5134754,1.5308235,0.65997773,-0.28772083
-0.8130823,1.4001713,2.0612543,-0.821361,1.3571807
-0.26350334,1.3435192,1.3369491,1.3401521,1.0459527
-1.0008551,1.7400836,1.6647973,0.1901681,0.3133873
-0.94589716,2.136648,1.4355962,0.93064934,-0.9180417
-0.6619481,0.6636947,1.3338113,1.2574556,-1.075341
-0.8909393,2.136648,1.3260196,1.2834177,1.6279602
-0.9229981,2.3066041,2.0210974,-0.816462,-0.9719729
-0.97795594,3.326341,1.5825092,0.34939936,-0.9955678
-0.88635945,1.003607,1.4080257,0.93814266,-0.23940746
-0.60699016,0.04052216,2.0683408,-0.9463392,-0.48996282
-0.97337615,1.4568233,1.4148655,0.8903191,1.2088699
-0.7306454,1.2868673,1.9331682,-0.6485142,-0.6000723
-0.11694898,0.38043442,2.0169723,-0.84853107,-1.1618557
-0.9413174,2.419908,1.3202376,1.1917894,1.4347068
-0.9275779,0.7203467,1.7530438,-0.24222353,1.1998813
-0.99169546,1.4001713,1.3613818,1.0069939,0.9931451
-0.9687963,3.0430806,1.5587816,0.29303563,-1.1708442
-0.99627525,1.7400836,1.2635102,1.3743274,0.52012354
-0.97337615,1.1735631,1.3453754,1.0332634,-0.31356287
-0.88635945,1.6834315,1.4190258,0.72516763,-0.26075524
-0.8909393,1.2302152,1.3156543,1.0993857,0.60551465
-0.9825358,2.3066041,1.5544099,0.23688366,-0.7966965
-0.99627525,1.4568233,1.5494387,0.23647754,1.5538049
-0.7031665,2.0799959,1.551272,0.2272362,-0.9697258
-0.6298893,0.77699876,1.2442603,1.3466257,-0.65063286
-0.9687963,1.5134754,2.003152,-0.9749268,1.9324468
-0.82224196,1.9100397,1.296616,1.1247799,0.95831454
-0.950477,1.060259,1.4076732,0.6792303,-0.06300751
-0.6665279,1.3435192,1.9996263,-1.0055554,-1.344997
-1.0008551,1.4001713,1.4743781,0.41618803,1.0639298
-0.8359814,0.6636947,1.5296247,0.23421927,1.5099858
-0.689427,2.0799959,1.3602887,0.8208626,0.2223784
-0.99627525,4.5160336,1.6668069,-0.2038864,0.6560751
-0.73522526,1.7967356,1.2943596,1.0242984,1.672903
-0.9642165,0.77699876,1.1827029,1.4885558,0.5706841
-0.72606564,-0.016129887,1.9012259,-0.83868784,-0.36412337
-0.99627525,1.1735631,1.1907413,1.4204925,1.6942507
-1.0054349,5.25251,1.8782741,-0.8049693,1.6818914
-0.9871156,3.1563847,1.3707951,0.68614876,-0.56299466
-0.9687963,1.003607,1.218347,1.2851511,-1.0124213
-0.950477,2.249952,1.3714298,0.6219988,-0.82590926
-1.0008551,2.7031684,1.796409,-0.6808603,-0.33715776
-0.7031665,-0.24273807,1.9289374,-0.9999733,-1.2146633
-0.8588805,1.6834315,1.511785,0.11706486,-0.1910941
-0.88635945,1.003607,1.2929493,0.87784,-0.34389916
-0.99169546,1.4568233,1.1596805,1.4172269,0.08080902
-1.0008551,1.116911,1.4104584,0.4216723,-0.057389677
-1.0054349,1.1735631,1.1278441,1.5399898,0.39653122
-0.8543007,1.9100397,1.3102953,0.7659803,-0.14952214
-0.49249458,0.94695497,1.2272316,1.0760554,0.6291095
-0.44669634,0.4370865,1.193033,1.2188956,-0.40906602
0.71199924,0.26713035,1.7754315,-0.7009202,-0.24614887
-0.9092586,1.5701275,1.2568116,0.93553865,1.4605488
-0.9184182,2.419908,1.5767272,-0.17984864,-0.73377675
-0.9000989,1.6267794,1.151078,1.3605148,0.7077592
-0.95505685,0.94695497,1.2528981,0.9191525,1.9324468
-0.8314016,-0.41269422,1.8689665,-0.9784923,0.30439878
0.066244,-0.41269422,1.8689665,-0.9784923,-1.0045563
-0.6802674,1.4001713,1.3120582,0.65017265,-0.29895648
-0.9596367,1.4001713,1.2415457,0.89639765,-1.3843218
-0.97337615,1.003607,1.2431674,0.8891355,-0.25401384
-0.5108139,1.1735631,1.619634,-0.38007656,0.37630704
-0.9642165,1.7967356,1.8498223,-0.9843945,1.6852621
-0.75354457,1.4568233,1.2910807,0.66056573,-0.49333352
-0.73522526,1.003607,1.1223794,1.3578149,1.4605488
-0.94589716,0.49373853,1.2110137,0.9520588,-0.7596188
-0.99627525,3.326341,1.420577,0.15543322,1.3111144
-1.0008551,2.7031684,1.3077569,0.52722156,-0.13603933
-0.6207297,2.5332122,1.0921648,1.4151561,-0.16974634
-0.9596367,2.1933,1.2170777,0.8625534,0.5156293
-1.0008551,1.060259,1.7069286,-0.73423404,-1.2573588
-0.8909393,2.363256,1.1529113,1.0896348,0.3234994
-0.99169546,1.7400836,1.7226881,-0.86814183,0.55383056
-0.8771998,1.4001713,1.292632,0.39222178,1.4841437
-0.97337615,1.2302152,1.8031782,-1.1012295,-0.44164947
-1.0008551,0.6636947,1.4288622,-0.09469251,1.3425744
-0.9871156,3.0997326,1.0108991,1.5536034,-0.52704054
-0.7031665,0.7203467,1.0606104,1.2960759,1.01674
-0.9687963,0.8336508,0.99774843,1.5866853,0.78640884
-0.9825358,1.9100397,1.7298099,-0.99259865,1.8268316
-0.9871156,2.1933,1.064136,1.2393318,0.29091597
-0.95505685,1.9100397,1.2533212,0.4494956,0.96842664
-0.8314016,2.0799959,1.6277782,-0.7447951,1.9245818
-1.0008551,2.6465163,1.3800676,-0.015991854,0.37293634
-0.9871156,1.5134754,1.2641096,0.38513875,-0.07311961
-1.0008551,1.8533877,1.091777,1.084765,0.5718076
-0.33220074,0.8336508,0.999758,1.510983,0.8830356
-0.94589716,1.4568233,1.2971448,0.25148988,-1.277583
-0.6802674,0.21047829,1.4220226,-0.18153419,0.005530054
-0.91383845,1.7400836,1.1026711,0.9969951,0.6403452
-0.93673754,2.249952,1.3423786,-0.007541218,1.3740342
-0.47417527,1.003607,0.99150807,1.4035871,-0.7292825
-0.8359814,0.32378238,1.6563358,-0.97992235,0.86168784
-0.9092586,2.136648,1.033463,1.1503484,-0.04952471
-0.61157,-0.24273807,1.571897,-0.7669376,1.7661589
-0.86346036,0.77699876,1.0392803,1.1097121,1.3965055
-0.9321577,0.4370865,1.3458337,-0.10999848,-0.4438966
-0.89551914,1.6834315,1.290305,0.059262045,0.6650637
-0.9871156,1.3435192,1.0148125,1.0980875,-0.9348952
-1.0008551,1.7967356,1.5688297,-0.8581952,0.8785413
-0.8817797,0.6070426,1.3363497,-0.18489625,1.0886483
-0.9275779,1.4001713,0.942114,1.4271597,1.6111068
-0.4970744,0.55039054,0.9594601,1.2709323,0.52349424
-0.9825358,2.5332122,1.0396329,0.8792416,1.1571858
-0.9596367,2.3066041,1.3671638,-0.36803475,-1.1236544
-0.9871156,3.609601,1.0801071,0.6558492,-0.88658184
-1.0008551,1.7967356,1.1688119,0.28956318,-0.57198316
-0.99169546,1.003607,1.1830202,0.22615531,1.3785285
-0.99627525,0.77699876,0.92392176,1.3592124,0.88752985
-0.86346036,0.8336508,1.3525324,-0.40654474,-0.76411307
-1.0008551,2.7598205,1.5995731,-1.1316277,1.672903
-0.9321577,2.249952,1.2231771,-0.02617038,0.097662516
-0.9825358,1.6834315,1.1528409,0.22787835,0.95831454
-0.01619284,1.060259,0.9204314,1.1763613,-0.38771826
-0.73522526,0.8336508,0.9720113,0.91728157,0.38192487
-0.7214858,1.5134754,1.1467062,0.17128971,0.41787902
-1.0008551,1.1735631,0.9649601,0.9404363,1.6358252
-0.90467876,0.7203467,1.0450976,0.5237144,-1.2067983
-0.7489647,0.55039054,0.9468736,0.9610065,0.38529557
0.01586593,-0.35604215,1.4915127,-0.99692154,-1.2652237
-0.6985867,0.6636947,0.86338675,1.3727376,-0.45962653
-0.59783053,1.2302152,1.2536032,-0.28513134,1.936941
-0.95505685,2.136648,1.157001,0.057519577,1.2380826
0.15784049,-0.46934626,1.4377116,-0.86202306,1.7403169
-0.950477,1.4568233,1.0229566,0.59122926,1.2695425
-0.9871156,2.1933,1.2720776,-0.36482888,1.7773947
-0.99169546,0.7203467,0.96926135,0.8135831,-0.7697309
-0.97337615,0.6636947,1.1306293,0.113990195,-0.13266864
-1.0008551,3.4962971,1.4067918,-0.8213589,-0.6753513
-0.7489647,1.4568233,1.2907987,-0.4784942,1.9257054
-0.80850244,0.8336508,0.829717,1.4509072,1.8268316
-0.950477,2.0799959,0.953255,0.82254326,-0.021435544
-0.99169546,0.94695497,0.832608,1.4240122,-1.0730939
-0.44669634,-0.41269422,1.4764582,-1.0535331,-0.05963681
-0.6711077,0.32378238,1.0566617,0.34338263,-0.26300237
-0.8588805,1.2868673,1.1550267,-0.05932175,-0.88321114
-0.8817797,1.116911,0.8032395,1.5361869,1.01674
-0.8680402,1.2302152,0.9019924,1.016833,1.3144852
-0.9871156,0.32378238,0.9934824,0.5781566,-1.3281435
-0.61614984,-0.46934626,1.4377116,-0.9784923,-0.6753513
-0.9321577,1.9666917,1.0024728,0.51729995,0.94258463
-1.0008551,1.6267794,1.272959,-0.5070346,1.8571678
-0.41463757,0.7203467,0.82601506,1.3418162,-0.47423288
-0.9871156,1.6267794,1.4338686,-1.0285699,1.6852621
-0.35052,1.003607,0.7886434,1.5019096,-0.49333352
-1.0008551,1.5701275,0.80789334,1.3725495,0.91337186
-0.8405612,2.136648,1.1163152,-0.052572627,0.8504521
-0.6527884,2.0233438,1.2836769,-0.63473135,-0.49333352
-0.9000989,1.6267794,0.88365906,0.91460955,1.2156113
-1.0054349,1.2302152,1.1900009,-0.3594064,1.758294
-0.9642165,1.060259,0.763964,1.5271053,-0.81467354
-0.4604358,0.94695497,0.9211365,0.68837583,-1.2056748
-0.8909393,1.2868673,0.96979016,0.4656041,0.95494384
-0.0024533675,2.249952,0.88256615,0.8674046,-0.77647233
-0.58409107,0.55039054,0.75723004,1.5005052,-0.1742406
-0.9000989,0.7203467,0.86148286,0.907539,1.7931246
-0.9229981,0.8336508,0.77771395,1.3487611,-1.0742174
-0.61614984,-0.35604215,1.3564811,-0.9784923,-1.2000569
-0.99169546,1.5134754,1.0908955,-0.12623887,0.60776174
-0.76728404,0.8336508,0.89166224,0.7027446,0.10552748
-0.9825358,1.5134754,0.8316913,0.9883924,1.6852621
-0.84514105,1.4001713,1.2000138,-0.5503326,-0.27760872
-0.8543007,1.116911,0.7522237,1.4057877,2.035815
-0.9871156,3.779557,0.93093777,0.4892753,-0.61467874
-0.8176621,1.003607,1.0267644,0.026475832,1.6223423
-0.9184182,1.7400836,0.75314033,1.3257104,0.9594381
-0.9871156,0.94695497,0.7820152,1.1548067,0.72236556
-0.5382928,1.2302152,0.7867748,1.1197261,0.71899486
-0.09862968,-0.35604215,1.1744176,-0.5524326,-1.202304
-0.97795594,0.89030284,0.7337141,1.3937043,-0.72478825
-0.97337615,0.77699876,0.8985372,0.5359013,0.6100089
-0.6985867,1.003607,1.1196294,-0.3963565,1.5335807
-0.9687963,1.060259,0.9158481,0.3988765,0.058337685
-0.8359814,1.116911,1.0629373,-0.21154077,0.92348397
-0.9871156,1.3435192,0.7557846,1.172198,1.3245972
-0.93673754,0.77699876,0.92134804,0.3452667,-0.019188412
-0.93673754,1.4001713,1.2133054,-0.76802826,-0.7865844
-0.8909393,0.4370865,0.87248284,0.55456936,0.8594407
-0.8359814,0.38043442,1.1614081,-0.61369187,0.35495928
-0.9596367,0.6636947,0.81505036,0.79662555,-0.2012062
-0.8359814,1.116911,0.75966275,1.0765469,0.40551975
-0.9825358,0.49373853,0.9299153,0.2444096,1.1122432
-0.90467876,1.2302152,1.252334,-0.94521385,1.0021336
-0.689427,0.21047829,0.9172231,0.2847863,0.49315795
-0.7398051,0.7203467,0.64899325,1.6955855,0.69315284
-0.7810235,0.4370865,0.808669,0.7827365,1.506615
-0.9871156,0.89030284,0.7319866,1.18347,1.7773947
-0.95505685,1.060259,1.2475392,-0.95723414,0.66056937
-0.7489647,1.1735631,0.8863738,0.38096306,0.9302254
-0.95505685,1.060259,0.71256036,1.2520983,0.9369668
-1.0008551,1.4001713,1.1772381,-0.7676332,1.9301996
-0.91383845,1.7400836,0.81318176,0.70368665,-0.24951957
-0.8909393,0.38043442,0.7089642,1.2079618,0.37293634
-0.6527884,0.6070426,0.6824162,1.3349191,1.936941
-0.90467876,1.060259,0.98262346,-0.14282843,-1.0764645
-0.7489647,0.6636947,0.8286945,0.5326955,0.6369745
-0.95505685,1.003607,0.6441279,1.5295795,1.6167246
-0.95505685,0.26713035,0.9275532,0.03842807,0.29541025
-0.99627525,1.9666917,1.1053506,-0.6483511,1.0538177
0.6112431,0.4370865,0.6743425,1.2763416,1.0290992
-0.950477,2.0799959,1.2479622,-1.1476071,1.2470711
-0.9092586,1.1735631,1.0544405,-0.52482796,-0.64389145
-0.89551914,0.8336508,0.61997736,1.537937,-0.36861762
-0.56577176,0.89030284,0.70973986,1.0004287,1.6998686
-0.75354457,0.4370865,0.6911245,1.081026,1.2392062
-0.93673754,0.38043442,0.80214655,0.49242702,1.0751655
-0.97795594,1.060259,0.6412016,1.3705676,0.7201184
-0.7077463,1.060259,0.6812175,1.1305141,0.9560674
-0.97337615,0.8336508,0.67878485,1.1361845,0.71225345
