R,F,M,C,L,prediction
2.0,62.0,65751.0,1.0037037,3114.0,2
17.0,53.0,55075.0,1.1935318,1712.0,2
6.0,43.0,53080.0,1.2371567,2478.0,2
217.0,32.0,46488.0,1.4000293,1280.0,3
60.0,28.0,47951.0,1.3555404,1965.0,1
63.0,40.0,52906.0,1.2274394,1997.0,2
2.0,34.0,47751.0,1.3595165,3081.0,1
23.0,26.0,50024.0,1.2879574,551.0,4
57.0,23.0,47238.0,1.3630488,1968.0,1
224.0,7.0,62686.0,1.0268353,499.0,4
68.0,25.0,44870.0,1.4337509,1216.0,3
90.0,35.0,55938.0,1.1490632,3349.0,1
12.0,51.0,53198.0,1.2079029,2727.0,2
255.0,5.0,61160.0,1.05,3174.0,1
13.0,39.0,49396.0,1.299551,2755.0,2
5.0,52.0,56462.0,1.1353776,3207.0,2
4.0,26.0,47873.0,1.3377334,940.0,4
8.0,25.0,52450.0,1.2176,1507.0,4
2.0,75.0,60283.0,1.0569828,1024.0,2
57.0,39.0,56993.0,1.1158592,3339.0,1
44.0,28.0,43915.0,1.4471741,3251.0,1
13.0,50.0,47419.0,1.339272,1606.0,2
4.0,30.0,43997.0,1.4425557,670.0,3
123.0,6.0,62259.0,1.017114,1572.0,4
74.0,19.0,50352.0,1.256991,1391.0,4
33.0,36.0,53142.0,1.187839,839.0,4
28.0,33.0,43164.0,1.4618182,2530.0,1
31.0,35.0,45965.0,1.3726352,2795.0,1
5.0,19.0,48560.0,1.2973062,443.0,4
86.0,5.0,61160.0,1.03,1024.0,4
17.0,48.0,48815.0,1.2868559,2464.0,2
2.0,42.0,56487.0,1.1109582,3278.0,2
130.0,26.0,43810.0,1.428441,1203.0,3
5.0,42.0,61051.0,1.0214007,3125.0,2
144.0,31.0,42750.0,1.4559321,1186.0,3
2.0,41.0,43296.0,1.4337186,2438.0,2
37.0,51.0,52044.0,1.188998,2382.0,2
78.0,49.0,56791.0,1.0890303,1186.0,2
24.0,42.0,45445.0,1.3550816,2707.0,2
1.0,35.0,54134.0,1.1363088,3190.0,1
10.0,32.0,42050.0,1.4602587,900.0,3
120.0,30.0,46508.0,1.3162329,552.0,4
26.0,36.0,47888.0,1.2779788,2475.0,1
220.0,53.0,45414.0,1.3469756,934.0,2
93.0,23.0,41859.0,1.455691,1470.0,3
24.0,26.0,44816.0,1.3538674,3221.0,1
19.0,28.0,42440.0,1.4296336,669.0,3
86.0,7.0,58856.0,1.03,557.0,4
4.0,40.0,51323.0,1.1763481,2166.0,2
53.0,28.0,45672.0,1.3187003,1719.0,1
6.0,40.0,43971.0,1.3677515,3125.0,1
36.0,38.0,54418.0,1.1035231,1378.0,2
34.0,33.0,41717.0,1.4394262,3437.0,1
5.0,80.0,46786.0,1.2820436,1078.0,2
42.0,31.0,49504.0,1.2025721,3069.0,1
20.0,44.0,41743.0,1.4256754,2479.0,2
5.0,30.0,42562.0,1.396328,2268.0,1
103.0,35.0,42697.0,1.390304,2265.0,1
199.0,7.0,53692.0,1.1031625,555.0,4
7.0,29.0,41192.0,1.4373512,980.0,3
8.0,27.0,45867.0,1.2900501,2168.0,1
68.0,31.0,52138.0,1.1299638,2990.0,1
9.0,32.0,46358.0,1.2665204,1677.0,1
38.0,33.0,50530.0,1.1617001,2447.0,1
5.0,37.0,41818.0,1.3993144,2804.0,1
16.0,27.0,46514.0,1.2573146,1608.0,1
16.0,38.0,54795.0,1.0661407,925.0,4
26.0,21.0,45128.0,1.2932558,2390.0,1
38.0,20.0,53323.0,1.0926431,1941.0,1
11.0,25.0,43499.0,1.3348215,1446.0,1
38.0,33.0,41928.0,1.3828893,1986.0,1
6.0,22.0,46757.0,1.2399955,2615.0,1
23.0,35.0,55902.0,1.0357145,2517.0,1
70.0,17.0,46397.0,1.2469289,2064.0,1
59.0,26.0,38789.0,1.48919,2242.0,1
50.0,21.0,43318.0,1.3324364,2966.0,1
5.0,29.0,41143.0,1.40125,3207.0,1
12.0,32.0,55766.0,1.0336504,2213.0,1
57.0,34.0,45522.0,1.2634443,2453.0,1
12.0,32.0,40592.0,1.4130348,2459.0,1
2.0,38.0,53772.0,1.0662085,3343.0,1
21.0,44.0,43446.0,1.3188621,1403.0,2
26.0,20.0,40490.0,1.4054557,1957.0,1
78.0,24.0,39737.0,1.4272567,3349.0,1
23.0,32.0,48252.0,1.1734993,667.0,4
57.0,25.0,43886.0,1.2894996,2192.0,1
12.0,31.0,38651.0,1.4606836,3064.0,1
12.0,18.0,46690.0,1.2046245,1888.0,1
3.0,48.0,51733.0,1.0866915,2563.0,2
354.0,21.0,39508.0,1.4171978,2541.0,1
13.0,50.0,55778.0,1.0009598,2735.0,2
22.0,34.0,50289.0,1.1079028,1052.0,4
25.0,28.0,37966.0,1.4621187,1297.0,3
97.0,29.0,40512.0,1.3698183,3138.0,1
56.0,21.0,39984.0,1.3836584,2728.0,1
16.0,20.0,43133.0,1.2825848,2582.0,1
7.0,32.0,38568.0,1.4333782,2266.0,1
66.0,32.0,39703.0,1.3921565,2476.0,1
8.0,28.0,39634.0,1.3931302,2259.0,1
5.0,39.0,50287.0,1.0974077,736.0,4
16.0,27.0,41594.0,1.3266183,2275.0,1
114.0,24.0,39764.0,1.3875232,2891.0,1
2.0,36.0,38524.0,1.4314331,2264.0,1
36.0,28.0,46337.0,1.1879852,2951.0,1
90.0,29.0,43510.0,1.2597026,2371.0,1
6.0,22.0,38318.0,1.4296281,1595.0,3
31.0,34.0,46983.0,1.1652685,2064.0,1
280.0,6.0,53572.0,1.0187306,820.0,4
95.0,23.0,40062.0,1.3597593,2646.0,1
8.0,24.0,41244.0,1.3155693,3255.0,1
209.0,24.0,39015.0,1.3884524,2440.0,1
26.0,36.0,44577.0,1.213645,2430.0,1
11.0,50.0,40188.0,1.3438041,3270.0,2
110.0,24.0,40099.0,1.3443943,2243.0,1
39.0,23.0,39624.0,1.3579856,3290.0,1
31.0,37.0,38581.0,1.3904575,776.0,3
31.0,28.0,37203.0,1.4419353,1444.0,3
5.0,30.0,39021.0,1.3714303,2600.0,1
17.0,9.0,50971.0,1.0493467,1208.0,4
13.0,66.0,41981.0,1.2727236,3306.0,2
2.0,19.0,38991.0,1.3683112,488.0,3
11.0,45.0,38655.0,1.3789293,3387.0,1
3.0,21.0,36648.0,1.4532195,2363.0,1
1.0,38.0,40307.0,1.3188851,3096.0,1
22.0,35.0,39729.0,1.3361758,2468.0,1
60.0,31.0,38349.0,1.3829308,808.0,3
1.0,25.0,37662.0,1.4065493,3233.0,1
314.0,29.0,36412.0,1.4528178,2559.0,1
32.0,29.0,35893.0,1.4680024,2587.0,1
1.0,22.0,39768.0,1.3234867,2054.0,1
94.0,19.0,43462.0,1.2106622,752.0,4
67.0,32.0,44298.0,1.186242,938.0,4
293.0,13.0,52254.0,1.00555,3176.0,1
9.0,48.0,48023.0,1.0930514,512.0,4
20.0,26.0,37863.0,1.3855772,2469.0,1
86.0,27.0,38894.0,1.3487911,1897.0,1
3.0,16.0,47254.0,1.1068244,2583.0,1
156.0,24.0,43077.0,1.2098026,748.0,4
5.0,34.0,48212.0,1.0803894,2260.0,1
13.0,45.0,43281.0,1.2000067,2730.0,2
87.0,5.0,50895.0,1.0199515,460.0,4
16.0,40.0,48705.0,1.0624211,3070.0,1
23.0,41.0,46235.0,1.117745,1819.0,2
62.0,26.0,37631.0,1.3707143,657.0,3
107.0,35.0,46076.0,1.1183774,1957.0,1
111.0,26.0,39659.0,1.2969213,1991.0,1
86.0,5.0,50481.0,1.0152333,2362.0,1
32.0,24.0,40937.0,1.2510778,1596.0,1
5.0,23.0,35733.0,1.4321485,479.0,3
67.0,4.0,48928.0,1.045,1622.0,4
16.0,21.0,43408.0,1.1768022,2548.0,1
3.0,31.0,49318.0,1.0331523,1539.0,4
138.0,20.0,38948.0,1.306759,556.0,4
258.0,4.0,48928.0,1.04,2852.0,1
40.0,21.0,48396.0,1.0497545,1256.0,4
43.0,36.0,34714.0,1.4605715,734.0,3
16.0,28.0,46152.0,1.0985014,2440.0,1
9.0,31.0,36910.0,1.3719559,745.0,3
7.0,34.0,41626.0,1.21535,1426.0,4
7.0,18.0,35956.0,1.4045295,675.0,3
5.0,23.0,37887.0,1.332792,2873.0,1
403.0,4.0,48928.0,1.03,794.0,0
30.0,24.0,38472.0,1.3098412,3096.0,1
26.0,52.0,44279.0,1.1366047,1108.0,2
10.0,13.0,45122.0,1.1116728,1700.0,4
11.0,48.0,40001.0,1.2538542,3276.0,1
7.0,33.0,48122.0,1.0388868,3389.0,1
1.0,20.0,37568.0,1.3296843,2774.0,1
30.0,34.0,39877.0,1.2521925,2516.0,1
60.0,23.0,42591.0,1.1713185,3067.0,1
12.0,20.0,37123.0,1.3405689,2437.0,1
8.0,30.0,46669.0,1.0647472,2674.0,1
1.0,38.0,46628.0,1.064775,3152.0,1
73.0,30.0,39249.0,1.2573748,2469.0,1
29.0,51.0,49022.0,1.0066556,2977.0,2
23.0,49.0,45202.0,1.088652,1804.0,2
37.0,35.0,42920.0,1.1464729,2667.0,1
37.0,50.0,39028.0,1.2552124,890.0,2
14.0,26.0,37191.0,1.3161335,2034.0,1
12.0,23.0,33094.0,1.4786925,2103.0,1
27.0,32.0,32894.0,1.4865195,1279.0,3
35.0,20.0,33237.0,1.4695505,839.0,3
5.0,35.0,45301.0,1.0774325,2303.0,1
59.0,31.0,36574.0,1.3333764,1955.0,1
7.0,54.0,47629.0,1.0226436,1544.0,2
58.0,41.0,33309.0,1.46107,1224.0,3
367.0,4.0,42844.0,1.1357996,371.0,4
17.0,14.0,47938.0,1.0145752,395.0,4
138.0,45.0,37953.0,1.2799194,826.0,4
194.0,22.0,33292.0,1.4571564,2611.0,1
3.0,48.0,40606.0,1.1932695,1257.0,2
88.0,34.0,36623.0,1.3186104,1438.0,3
14.0,28.0,39647.0,1.2170621,3063.0,1
